query,lat,lon
Ultium Cells Tennessee (with GM), Spring Hill, Tennessee, USA,35.751179,-86.9300023
Ultium Cells Michigan (with GM), Lansing, Michigan, USA,42.7338254,-84.5546295
Arizona Cylindrical Plant, Queen Creek, Arizona, USA,33.2483858,-111.634158
DENSO Manufacturing Michigan (DMMI), Battle Creek, Michigan, USA,42.3192548,-85.1824269
DENSO Manufacturing Tennessee (DMTN), Maryville, Tennessee, USA,35.7564719,-83.9704593
Auto Parts Hungary Kft. (Rétság), Rétság, Hungary,47.9303241,19.1375901
Hanon Systems Hungary Kft. (Székesfehérvár), Székesfehérvár, Hungary,47.1910169,18.410811
Shorter Manufacturing Facility, Shorter, Alabama, USA,32.3948615,-85.916902
Gyeongju Manufacturing Site, Gyeongju, South Korea,35.8556705,129.2248811
Valeo Thermal Systems Skawina, Skawina, Poland,49.9747508,19.8265702
Celaya Production Facility, Celaya, Guanajuato, Mexico,20.5222851,-100.8307739
Lawrenceburg BTMS Manufacturing, Lawrenceburg, Tennessee, USA,35.2423023,-87.3347389
Pontevico EVantage Manufacturing, Pontevico, Brescia, Italy,45.274374,10.092471
Franklin Facility (new), Franklin, Wisconsin, USA,42.888627,-88.0384183
Thermal Products – Auburn Hills, Auburn Hills, Michigan, USA,42.6875323,-83.2341028
Hanon Systems Daejeon, Daejeon, South Korea,36.3497007,127.3849016
Hanon Systems Pyeongtaek, Pyeongtaek, South Korea,36.9924966,127.1127168
Hanon Systems Pangyo, Seongnam (Pangyo), South Korea,37.4038076,127.1093709
Hanon Systems Ulsan, Ulsan, South Korea,35.5391697,129.3119136
Hanon Systems Gyeongju, Gyeongju, South Korea,35.8556705,129.2248811
Hanon Systems EFP Korea Inc. Asan, Asan, South Korea,36.7899498,127.0026769
Hanon Systems (Beijing) Co., Ltd., Beijing (Shunyi), China,40.0689102,116.5492814
Beijing BHAP Hanon Systems Co., Ltd., Beijing (Daxing), China,39.7191662,116.3222953
FAWER Hanon Thermal Systems (Changchun) Co., Ltd., Changchun, China,43.8844201,125.3180998
FAWER Hanon Automotive Components (Changchun) Co., Ltd., Changchun, China,43.8844201,125.3180998
Hanon Systems EFP (Changzhou) Co., Ltd., Changzhou, China,31.8122623,119.9691539
FAWER Hanon Thermal Systems (Chengdu) Co., Ltd., Chengdu, China,30.659867,104.063315
Chongqing Hanon Jianshe Automotive Thermal Systems Co., Ltd., Chongqing, China,30.05518,107.8748712
Hanon Systems (Dalian) Co., Ltd., Dalian, China,39.740278,122.255833
Foshan FAWER Hanon Thermal Systems Co., Ltd., Foshan, China,23.0239788,113.1159558
Hanon Systems (Hubei) Co., Ltd., Wuhan (Jiangxia), China,30.4899785,114.5259426
Hanon Systems (Nanchang) Co., Ltd., Nanchang, China,28.6472124,116.0348483
Hanon Jie Xi Si Systems (Nanjing) Co., Ltd., Nanjing, China,32.0438284,118.7788631
Hanon Systems (Shanghai) Co., Ltd., Shanghai (Xuhui), China,31.1450814,121.4195085
Hanon Systems (Yancheng) Co., Ltd., Yancheng, China,33.349559,120.1577019
Hanon Climate Systems India Pvt. Ltd., Bhiwadi, India,28.2039413,76.837441
Hanon Systems South Africa (PTY) Ltd., Port Elizabeth (Gqeberha), South Africa,-33.9618359,25.6186512
Hanon Systems (Thailand) Co. Ltd., Rayong, Thailand,12.6817905,101.277765
Hanon Systems Autopal s.r.o., Hluk, Czech Republic,48.988328,17.5268918
Hanon Systems Autopal s.r.o. (Nový Jičín), Nový Jičín, Czech Republic,49.6008644,18.0157732
Hanon Systems Thermal Technology s.r.o., Kladno, Czech Republic,49.7724743,15.9822811
Hanon Systems Charleville SAS, Charleville-Mézières, France,49.7735712,4.7206939
Hanon Systems Deutschland GmbH, Kerpen, Germany,50.3097609,6.7293316
Hanon Systems EFP Deutschland GmbH, Bad Homburg, Germany,50.2363508,8.5980265
Hanon Systems Auto Parts Hungary Kft., Rétság, Hungary,47.9147418,19.1159244
Hanon Systems Hungary Kft. (Alba), Székesfehérvár, Hungary,47.1910169,18.410811
Hanon Systems Hungary Kft. (Pécs), Pécs, Hungary,46.0765092,18.2280317
Hanon Systems Italia Benevento s.r.l., Benevento, Italy,41.2476307,14.7057054
Hanon Systems Italia Campiglione s.r.l., Campiglione Fenile, Italy,44.8045985,7.3223128
Hanon Systems Netherlands Coöperatief U.A., Heerlen, Netherlands,50.8775239,5.9815066
Hanon Systems Portugal, S.A., Palmela, Portugal,38.569601,-8.9011653
Hanon Systems Slovakia s.r.o., Ilava, Slovakia,48.9921413,18.2333907
