factory_id,hvac_id,plant_name,city,state_province,country,latitude,longitude,notes
4dbcc102-ed65-43ce-9170-456ee0810744,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems EFP Deutschland GmbH,Bad Homburg,,Germany,50.2363508,8.5980265,
cbb0d09f-1340-4783-aed0-baece8174014,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Auto Parts Hungary Kft.,Rétság,,Hungary,47.9147418,19.1159244,
f8c57553-7156-47fd-b59e-114e585f9e44,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Hungary Kft.,Székesfehérvár,,Hungary,47.1910169,18.410811,Alba
e5c2fbb4-69d2-4b3e-b3cb-176e762e9bef,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Hungary Kft.,Pécs,,Hungary,46.0765092,18.2280317,Pécs
646db699-be85-4408-aeed-56bd743376e8,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Italia Benevento s.r.l.,Benevento,,Italy,41.2476307,14.7057054,
5fea5a5c-a34b-4c46-9976-c6b27d93c471,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Italia Campiglione s.r.l.,Campiglione Fenile,,Italy,44.8045985,7.3223128,
5011d1f7-2b8e-46be-83be-c430d043c5b8,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Netherlands Coöperatief U.A.,Heerlen,,Netherlands,50.8775239,5.9815066,
69fc98a7-e65a-4aff-9c97-2578a4046057,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Portugal,S.A.,,Palmela,38.569601,-8.9011653,
3ead27c5-f586-4115-9ccf-f888f319a935,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Automotive Climate Systems Mfg. Co.,Dilovası,Kocaeli,Türkiye,40.7891632,29.5332182,
d8f3a8db-3cf6-4753-b5bc-00970924494a,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Hanon Systems UK Ltd.,Birmingham,,United Kingdom,52.4796992,-1.9026911,
